index,playerId,outfielderBlock,interception,totalTackle,lastManTackle,totalClearance,headClearance,aerialWon,own_Goals,errorLeadToGoal,penaltyConceded,fouls,aerialLost
270,135245.0,1.0,13.0,31.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,15.0,10.0
271,93882.0,1.0,5.0,13.0,0.0,5.0,2.0,9.0,0.0,0.0,0.0,6.0,8.0
272,154433.0,1.0,0.0,4.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,4.0,13.0
273,179296.0,1.0,12.0,12.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,12.0,7.0
274,162118.0,1.0,15.0,38.0,0.0,14.0,6.0,10.0,0.0,0.0,0.0,21.0,12.0
275,180097.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
276,42971.0,1.0,3.0,8.0,0.0,7.0,4.0,8.0,0.0,0.0,0.0,7.0,7.0
277,180093.0,1.0,4.0,5.0,0.0,5.0,1.0,9.0,0.0,0.0,0.0,3.0,8.0
278,128570.0,1.0,17.0,43.0,0.0,26.0,6.0,17.0,0.0,1.0,1.0,26.0,35.0
279,96594.0,1.0,1.0,5.0,0.0,23.0,20.0,86.0,0.0,1.0,0.0,14.0,44.0
280,175596.0,1.0,2.0,4.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,5.0,20.0
281,12507.0,1.0,10.0,17.0,0.0,25.0,17.0,164.0,0.0,0.0,0.0,29.0,245.0
282,159638.0,1.0,9.0,27.0,0.0,9.0,3.0,3.0,0.0,0.0,0.0,23.0,16.0
283,160034.0,1.0,11.0,18.0,0.0,11.0,5.0,28.0,0.0,0.0,0.0,19.0,53.0
284,180025.0,1.0,12.0,19.0,0.0,14.0,5.0,6.0,0.0,0.0,0.0,9.0,10.0
285,48228.0,1.0,27.0,51.0,0.0,42.0,15.0,12.0,0.0,0.0,0.0,22.0,9.0
286,159637.0,1.0,20.0,38.0,0.0,5.0,3.0,8.0,0.0,0.0,0.0,15.0,39.0
287,94221.0,1.0,2.0,5.0,0.0,7.0,6.0,36.0,0.0,0.0,0.0,13.0,31.0
288,51790.0,1.0,1.0,4.0,0.0,2.0,1.0,15.0,0.0,0.0,0.0,8.0,29.0
289,48182.0,1.0,6.0,33.0,0.0,6.0,2.0,17.0,1.0,0.0,0.0,19.0,25.0
290,30985.0,1.0,5.0,2.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,3.0,11.0
291,93960.0,1.0,11.0,17.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,8.0,22.0
292,180210.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
293,91606.0,1.0,1.0,2.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,18.0,21.0
294,144289.0,1.0,4.0,4.0,0.0,7.0,3.0,12.0,0.0,0.0,0.0,2.0,10.0
295,160054.0,1.0,19.0,53.0,0.0,13.0,6.0,7.0,0.0,0.0,0.0,16.0,13.0
296,26151.0,1.0,10.0,13.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,5.0,14.0
297,93899.0,1.0,8.0,14.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,10.0,9.0
298,19667.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
299,137781.0,1.0,5.0,3.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,6.0,5.0
300,166789.0,1.0,3.0,20.0,0.0,5.0,4.0,8.0,0.0,0.0,0.0,9.0,37.0
301,7431.0,1.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,6.0
302,135200.0,1.0,18.0,47.0,0.0,14.0,6.0,15.0,0.0,0.0,0.0,26.0,26.0
303,130400.0,1.0,6.0,6.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,4.0,2.0
304,134381.0,1.0,7.0,19.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,9.0
305,163201.0,1.0,3.0,1.0,0.0,10.0,8.0,7.0,0.0,0.0,0.0,1.0,8.0
306,175534.0,1.0,7.0,15.0,0.0,15.0,3.0,7.0,0.0,0.0,0.0,4.0,13.0
307,160698.0,1.0,3.0,8.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0
308,157053.0,1.0,19.0,14.0,0.0,7.0,1.0,11.0,1.0,0.0,0.0,12.0,20.0
309,94140.0,1.0,18.0,23.0,0.0,14.0,9.0,16.0,0.0,0.0,0.0,4.0,11.0
310,160783.0,1.0,8.0,31.0,0.0,4.0,2.0,18.0,0.0,0.0,0.0,12.0,34.0
311,132927.0,1.0,22.0,46.0,0.0,10.0,5.0,6.0,0.0,0.0,0.0,17.0,19.0
312,162021.0,1.0,14.0,26.0,0.0,12.0,5.0,5.0,0.0,0.0,1.0,15.0,11.0
313,179147.0,1.0,3.0,7.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0
314,90117.0,1.0,0.0,3.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0
315,47184.0,1.0,7.0,13.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,14.0,39.0
316,161990.0,1.0,13.0,9.0,0.0,5.0,3.0,12.0,0.0,0.0,0.0,16.0,29.0
317,5745.0,1.0,8.0,19.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,17.0,16.0
318,160652.0,1.0,1.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,12.0
319,52974.0,1.0,4.0,29.0,0.0,11.0,8.0,15.0,0.0,0.0,0.0,20.0,27.0
320,144510.0,1.0,6.0,7.0,0.0,15.0,9.0,52.0,0.0,0.0,0.0,11.0,66.0
321,180035.0,1.0,16.0,15.0,0.0,19.0,12.0,32.0,1.0,0.0,0.0,5.0,28.0
322,31291.0,1.0,8.0,14.0,0.0,24.0,11.0,37.0,0.0,0.0,0.0,4.0,18.0
323,90847.0,1.0,13.0,20.0,0.0,29.0,10.0,20.0,0.0,2.0,0.0,7.0,17.0
324,44030.0,1.0,18.0,28.0,0.0,10.0,5.0,13.0,0.0,0.0,1.0,20.0,20.0
325,161377.0,1.0,11.0,16.0,0.0,13.0,9.0,8.0,0.0,0.0,0.0,12.0,8.0
326,131781.0,1.0,4.0,11.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,15.0,13.0
