index,playerId,goals,goalAssist,appearances,minutePlayed,yellowCard,redCard,totalSubOn,totalSubOff
328,160755.0,0.0,0.0,30.0,2700.0,2.0,0.0,0.0,0.0
329,133649.0,0.0,0.0,30.0,2700.0,4.0,0.0,0.0,0.0
330,129845.0,0.0,0.0,30.0,2650.0,2.0,0.0,0.0,1.0
331,15257.0,0.0,0.0,29.0,2490.0,7.0,0.0,1.0,2.0
332,129756.0,0.0,0.0,29.0,2610.0,1.0,0.0,0.0,0.0
333,44029.0,0.0,0.0,29.0,2532.0,3.0,1.0,0.0,0.0
334,135192.0,0.0,0.0,28.0,2520.0,0.0,0.0,0.0,0.0
335,161558.0,0.0,0.0,27.0,1333.0,7.0,0.0,14.0,4.0
336,130050.0,0.0,0.0,26.0,2090.0,7.0,0.0,3.0,2.0
337,160773.0,0.0,0.0,25.0,1763.0,4.0,0.0,6.0,9.0
338,55835.0,0.0,0.0,24.0,2106.0,2.0,1.0,0.0,1.0
339,140935.0,0.0,0.0,24.0,1401.0,3.0,0.0,10.0,2.0
340,30669.0,0.0,0.0,23.0,1229.0,4.0,0.0,10.0,5.0
341,48228.0,0.0,0.0,22.0,1772.0,5.0,0.0,2.0,4.0
342,41538.0,0.0,0.0,22.0,1459.0,4.0,0.0,6.0,1.0
343,90844.0,0.0,0.0,22.0,1980.0,0.0,0.0,0.0,0.0
344,14011.0,0.0,0.0,21.0,1479.0,7.0,0.0,4.0,4.0
345,160772.0,0.0,0.0,20.0,1795.0,0.0,0.0,0.0,1.0
346,58929.0,0.0,0.0,20.0,891.0,3.0,0.0,11.0,9.0
347,51699.0,0.0,0.0,20.0,954.0,5.0,0.0,9.0,11.0
348,48549.0,0.0,0.0,20.0,1646.0,3.0,0.0,2.0,1.0
349,35149.0,0.0,0.0,19.0,1183.0,1.0,0.0,7.0,2.0
350,129917.0,0.0,0.0,19.0,1579.0,1.0,0.0,0.0,2.0
351,180064.0,0.0,0.0,19.0,1426.0,6.0,0.0,3.0,4.0
352,114653.0,0.0,0.0,18.0,1527.0,5.0,0.0,0.0,2.0
353,52304.0,0.0,0.0,18.0,1612.0,1.0,0.0,1.0,0.0
354,160495.0,0.0,0.0,17.0,1294.0,4.0,0.0,2.0,2.0
355,162118.0,0.0,0.0,16.0,904.0,2.0,0.0,5.0,8.0
356,160457.0,0.0,0.0,16.0,1190.0,3.0,1.0,3.0,2.0
357,176689.0,0.0,0.0,16.0,1228.0,2.0,0.0,2.0,3.0
358,93899.0,0.0,0.0,16.0,486.0,4.0,0.0,12.0,1.0
359,34883.0,0.0,0.0,16.0,1240.0,2.0,1.0,3.0,0.0
360,51690.0,0.0,0.0,16.0,1136.0,2.0,0.0,2.0,10.0
361,10045.0,0.0,0.0,15.0,965.0,3.0,1.0,5.0,0.0
362,56726.0,0.0,0.0,15.0,1262.0,4.0,0.0,1.0,1.0
363,25178.0,0.0,0.0,15.0,1268.0,0.0,0.0,0.0,1.0
364,42655.0,0.0,0.0,15.0,1004.0,4.0,1.0,3.0,5.0
365,20255.0,0.0,0.0,14.0,1024.0,5.0,0.0,3.0,2.0
366,160118.0,0.0,0.0,14.0,545.0,1.0,0.0,8.0,5.0
367,94140.0,0.0,0.0,14.0,1023.0,3.0,0.0,1.0,3.0
368,130554.0,0.0,0.0,14.0,530.0,1.0,0.0,9.0,1.0
369,159715.0,0.0,0.0,14.0,1058.0,5.0,0.0,2.0,3.0
370,34626.0,0.0,0.0,14.0,1028.0,0.0,1.0,3.0,1.0
371,160781.0,0.0,0.0,12.0,538.0,0.0,0.0,7.0,3.0
372,14111.0,0.0,0.0,12.0,891.0,3.0,0.0,2.0,3.0
373,18566.0,0.0,0.0,12.0,357.0,0.0,0.0,9.0,3.0
374,161985.0,0.0,0.0,12.0,654.0,0.0,0.0,5.0,3.0
375,50336.0,0.0,0.0,12.0,634.0,0.0,0.0,6.0,2.0
376,31291.0,0.0,0.0,12.0,905.0,0.0,0.0,2.0,1.0
377,161550.0,0.0,0.0,12.0,405.0,0.0,0.0,8.0,2.0
378,179348.0,0.0,0.0,12.0,954.0,5.0,0.0,2.0,1.0
379,180157.0,0.0,0.0,11.0,756.0,1.0,0.0,3.0,1.0
380,180209.0,0.0,0.0,11.0,606.0,2.0,0.0,4.0,2.0
381,139561.0,0.0,0.0,11.0,553.0,1.0,0.0,5.0,3.0
382,161346.0,0.0,0.0,11.0,873.0,1.0,0.0,2.0,0.0
383,43133.0,0.0,0.0,11.0,872.0,2.0,0.0,3.0,0.0
384,90847.0,0.0,0.0,11.0,782.0,1.0,0.0,1.0,6.0
385,161449.0,0.0,0.0,10.0,900.0,0.0,0.0,0.0,0.0
386,44033.0,0.0,0.0,10.0,589.0,2.0,0.0,4.0,1.0
387,162023.0,0.0,0.0,9.0,245.0,2.0,0.0,7.0,2.0
388,175656.0,0.0,0.0,9.0,662.0,0.0,0.0,1.0,5.0
389,64876.0,0.0,0.0,9.0,190.0,0.0,0.0,7.0,2.0
390,130623.0,0.0,0.0,9.0,684.0,1.0,0.0,2.0,3.0
391,53278.0,0.0,0.0,9.0,556.0,0.0,1.0,2.0,1.0
392,14289.0,0.0,0.0,9.0,346.0,0.0,0.0,6.0,3.0
393,166103.0,0.0,0.0,9.0,552.0,2.0,0.0,2.0,4.0
394,161559.0,0.0,0.0,8.0,128.0,0.0,0.0,8.0,0.0
395,19444.0,0.0,0.0,8.0,633.0,0.0,0.0,1.0,1.0
396,141016.0,0.0,0.0,8.0,448.0,0.0,0.0,4.0,0.0
397,179279.0,0.0,0.0,8.0,686.0,0.0,0.0,1.0,0.0
398,11241.0,0.0,0.0,8.0,160.0,0.0,0.0,7.0,0.0
399,160698.0,0.0,0.0,8.0,216.0,0.0,0.0,7.0,0.0
400,175680.0,0.0,0.0,8.0,486.0,1.0,0.0,2.0,6.0
401,90688.0,0.0,0.0,8.0,362.0,2.0,0.0,4.0,4.0
402,161453.0,0.0,0.0,8.0,558.0,1.0,0.0,2.0,0.0
403,180210.0,0.0,0.0,7.0,65.0,0.0,0.0,7.0,0.0
404,134380.0,0.0,0.0,7.0,201.0,0.0,0.0,5.0,1.0
405,135178.0,0.0,0.0,7.0,537.0,0.0,0.0,2.0,0.0
406,179147.0,0.0,0.0,7.0,67.0,1.0,0.0,7.0,0.0
407,180034.0,0.0,0.0,7.0,451.0,0.0,0.0,2.0,2.0
408,131690.0,0.0,0.0,7.0,197.0,0.0,0.0,5.0,2.0
409,4600.0,0.0,0.0,6.0,336.0,0.0,0.0,3.0,1.0
410,179296.0,0.0,0.0,6.0,375.0,2.0,0.0,2.0,0.0
411,180424.0,0.0,0.0,6.0,422.0,1.0,0.0,2.0,0.0
412,32012.0,0.0,0.0,6.0,125.0,0.0,0.0,5.0,1.0
