index,playerId,shirtNum,positionInfo,loan,nationalTeamID,currentTeamId,birth,birthCountryId,playerName
220,132770,23.0,Left/Right Winger,False,CH,10,10/10/1991,XK,Xherdan Shaqiri
221,180035,28.0,Centre Defensive Midfielder,True,CZ,25,2/27/1995,CZ,Tomas Soucek
222,136255,4.0,Centre Central Defender,False,TR,26,5/23/1996,TR,Çaglar Söyüncü
223,93962,32.0,Centre Striker,False,DE,14,5/5/1994,DE,Dennis Srbeny
224,19041,15.0,Centre Central Defender,True,GB-ENG,20,1/27/1994,GB-ENG,Jack Stephens
225,160029,18.0,Left Full Back,False,GB-ENG,2,9/18/1995,GB-ENG,Matt Targett
226,18843,5.0,Centre Central Defender,False,GB-ENG,43,11/19/1992,GB-ENG,James Tarkowski
227,6363,27.0,Centre Defensive Midfielder,False,NO,14,4/4/1986,NO,Alexander Tettey
228,51519,5.0,Defender,False,GB-ENG,6,3/29/1989,GB-ENG,James Tomkins
229,135116,5.0,Centre Central Defender,True,GB-ENG,4,12/19/1997,CA,Fikayo Tomori
230,131752,11.0,Centre Central Midfielder,False,UY,1,2/11/1996,UY,Lucas Torreira
231,30557,10.0,Left/Right Winger,False,GB-ENG,6,7/16/1991,GB-ENG,Andros Townsend
232,6505,5.0,Centre Central Defender,False,BE,21,4/24/1987,BE,Jan Vertonghen
233,132044,4.0,Centre Central Defender,False,DK,20,8/3/1992,DK,Jannik Vestergaard
234,46933,8.0,Centre Central Midfielder,False,BA,14,5/23/1989,HR,Mario Vrancic
235,93725,11.0,Centre/Right Second Striker,False,GB-ENG,7,3/16/1989,GB-ENG,Theo Walcott
236,50015,2.0,Right Full Back,False,GB-ENG,11,5/28/1990,GB-ENG,Kyle Walker
237,180200,19.0,Centre Striker,True,GB-ENG,6,3/31/1993,GB-ENG,Connor Wickham
238,161377,53.0,Left Full Back,False,GB-ENG,12,9/3/2000,GB-ENG,Brandon Williams
239,21858,69.0,Centre Central Midfielder,False,GB-ENG,1,8/20/1999,GB-ENG,Joseph Willock
240,26145,34.0,Centre Central Midfielder,False,CH,1,9/27/1992,CH,Granit Xhaka
241,33511,22.0,Right Full Back,False,US,23,7/9/1993,US,DeAndre Yedlin
242,129762,15.0,Centre Central Defender,False,FR,38,2/3/1991,FR,Willy Boly
243,135262,33.0,Centre Central Defender,True,GB-ENG,131,5/9/1992,GB-ENG,Dan Burn
244,94007,23.0,Right Full Back,False,IE,7,10/11/1988,IE,Séamus Coleman
245,133133,12.0,Centre Central Defender,False,IE,18,10/20/1992,IE,John Egan
246,160422,15.0,Centre Central Defender,False,GB-ENG,2,10/23/1997,GB-ENG,Ezri Konsa Ngoyo
247,133644,17.0,Striker,False,IE,18,11/29/1987,IE,David McGoldrick
248,134381,7.0,Left/Centre/Right Attacking Midfielder,False,DE,6,9/18/1995,DE,Max Meyer
249,30925,5.0,Centre Central Defender,False,GB-ENG,18,3/29/1994,GB-ENG,Jack O'Connell
250,91041,41.0,Centre Central Midfielder,False,GB-ENG,25,1/14/1999,GB-ENG,Declan Rice
251,52266,6.0,Centre Central Defender,False,CO,21,6/12/1996,CO,Davinson Sánchez
252,128164,,Defender,False,GB-ENG,6,10/29/1989,GB-ENG,Joel Ward
253,135589,5.0,Centre Central Defender,True,FR,4,10/27/1994,FR,Kurt Zouma
254,130624,17.0,Left/Right Attacking Midfielder,False,AR,14,12/25/1996,AR,Emiliano Buendía
255,134236,12.0,Left Full Back,False,FR,7,7/20/1993,FR,Lucas Digne
256,96594,7.0,Centre Striker,False,GB-ENG,23,1/6/1989,GB-ENG,Andy Carroll
257,135654,77.0,Left Winger,False,GB-ENG,1,9/5/2001,GB-ENG,Bukayo Saka
258,161548,19.0,Right Full Back,True,FR,7,7/29/1992,FR,Djibril Sidibé
259,159994,29.0,Right Full Back,False,GB-ENG,12,11/26/1997,GB-ENG,Aaron Wan-Bissaka
260,13981,11.0,Left/Right Winger,False,GB-ENG,26,11/18/1989,GB-ENG,Marc Albrighton
261,44017,30.0,Left/Right Winger,False,GH,23,1/10/1992,GH,Christian Atsu
262,93882,8.0,Centre Attacking Midfielder,False,GB-ENG,4,12/5/1993,GB-ENG,Ross Barkley
263,144363,68.0,Centre Central Defender,True,GB-ENG,7,10/22/1996,GB-ENG,Mason Holgate
264,52229,,Central Midfielder,False,GB-SCT,6,10/7/1987,GB-SCT,James McArthur
265,160313,23.0,Left Full Back,False,NL,43,8/7/1988,NL,Erik Pieters
266,32098,6.0,Centre Central Midfielder,False,FR,12,3/15/1993,FR,Paul Pogba
267,161456,10.0,Centre Attacking Midfielder,False,GB-ENG,20,7/13/1996,GB-ENG,Che Adams
268,133548,19.0,Left/Centre/Right Attacking Midfielder,True,MA,20,9/17/1993,FR,Sofiane Boufal
269,20262,29.0,Centre Defensive Midfielder,False,FR,33,7/11/1988,FR,Etienne Capoue
270,160682,8.0,Left/Centre/Right Attacking Midfielder,True,ES,1,8/7/1996,ES,Dani Ceballos
271,14109,15.0,Centre Defensive Midfielder,False,GB-ENG,21,1/15/1994,GB-ENG,Eric Dier
272,129761,24.0,Right Full Back,False,GB-ENG,25,10/10/1992,GB-ENG,Ryan Fredericks
273,154432,,Right Full Back,False,FR,2,12/24/1994,FR,Frederic Guilbert
274,52087,24.0,Right Full Back,False,GB-ENG,4,12/8/1999,GB-ENG,Reece James
275,30562,27.0,Centre Central Defender,False,BE,33,2/24/1991,CD,Christian Kabasele
276,44026,,Left Full Back,False,BA,1,6/20/1993,DE,Sead Kolasinac
277,26151,28.0,Left/Centre/Right Attacking Midfielder,False,AR,25,2/15/1993,AR,Manuel Lanzini
278,19415,7.0,Right Winger,True,GB-ENG,1,8/29/1997,GB-ENG,Ainsley Maitland-Niles
279,7431,8.0,Left/Centre/Right Attacking Midfielder,False,ES,12,4/28/1988,ES,Juan Mata
280,128282,22.0,Left Full Back,False,FR,11,7/17/1994,FR,Benjamin Mendy
281,133647,21.0,Left Full Back,False,ES,127,2/23/1993,ES,Diego Rico
282,160312,17.0,Right Wing Back,False,GB-ENG,127,4/6/1996,GB-ENG,Jack Stacey
283,133868,2.0,Right Full Back,False,GB-ENG,14,1/4/2000,GB-ENG,Max Aarons
284,51275,26.0,Right Full Back,False,GB-SCT,43,6/28/1985,GB-SCT,Phil Bardsley
285,15123,6.0,Centre Central Defender,False,GB-ENG,18,7/20/1988,GB-ENG,Chris Basham
